Epoch,Split,Level,Class ID,Class Name,Precision,Recall,F1 Score
0,Train,PF4,0,Arachnida,0.1775,0.8807,0.2954
0,Train,PF4,1,Insecta,0.9986,0.9531,0.9753
0,Train,PF3,0,Araneae,0.4133,0.6233,0.497
0,Train,PF3,1,Coleoptera,0.7023,0.4005,0.5101
0,Train,PF3,2,Dermaptera,0.0995,0.2341,0.1397
0,Train,PF3,3,Diptera,0.8784,0.5209,0.654
0,Train,PF3,4,Hemiptera,0.3285,0.2668,0.2944
0,Train,PF3,5,Hymenoptera,0.413,0.4063,0.4097
0,Train,PF3,6,Lepidoptera,0.5199,0.0702,0.1238
0,Train,PF3,7,Mecoptera,0.0313,0.4515,0.0585
0,Train,PF3,8,Neuroptera,0.5307,0.4533,0.4889
0,Train,PF3,9,Orthoptera,0.1676,0.6001,0.262
0,Train,PF3,10,Trichoptera,0.5416,0.3055,0.3906
0,Train,PF2,0,Apocrita,0.6766,0.3133,0.4283
0,Train,PF2,1,Arneomorphae,0.6105,0.5005,0.55
0,Train,PF2,2,Brachycera,0.847,0.4324,0.5725
0,Train,PF2,3,Forficulina,0.105,0.3279,0.1591
0,Train,PF2,4,Glossata,0.5385,0.0355,0.0666
0,Train,PF2,5,Hemerobiiformia,0.5674,0.1975,0.293
0,Train,PF2,6,Heteroptera,0.2862,0.4055,0.3356
0,Train,PF2,7,Integripalpia,0.7018,0.0606,0.1115
0,Train,PF2,8,Nematocera,0.5108,0.4566,0.4822
0,Train,PF2,9,Polyphaga,0.7543,0.2993,0.4285
0,Train,PF2,10,Symphyta,0.137,0.3592,0.1984
0,Train,PF2,11,grasshopper,0.1046,0.6221,0.1791
0,Train,PF2,12,scorpion_fly,0.0393,0.4243,0.072
0,Train,PF1,0,Aculeata,0.293,0.1528,0.2008
0,Train,PF1,1,Araneomorphae,0.5961,0.5449,0.5693
0,Train,PF1,2,Asilomorpha,0.3142,0.4222,0.3603
0,Train,PF1,3,Bibionomorpha,0.3451,0.6931,0.4607
0,Train,PF1,4,Cucujiformia,0.71,0.5566,0.6241
0,Train,PF1,5,Culicomorpha,0.7648,0.542,0.6344
0,Train,PF1,6,Epidermaptera,0.0885,0.2194,0.1261
0,Train,PF1,7,Heterocera,0.7078,0.2543,0.3742
0,Train,PF1,8,Muscomorpha,0.8296,0.4015,0.5411
0,Train,PF1,9,Parasitica,0.2828,0.2337,0.2559
0,Train,PF1,10,Pentatomomorpha,0.2939,0.5008,0.3705
0,Train,PF1,11,Plenitentoria,0.1743,0.0159,0.0291
0,Train,PF1,12,Rhopalocera,0.2315,0.521,0.3206
0,Train,PF1,13,lacewing,0.2757,0.6565,0.3883
0,Train,PF1,14,saw_fly,0.0784,0.5804,0.1381
0,Train,Leaf Class (Softmax),0,Ichneumonoidea,0.2545,0.4048,0.3125
0,Train,Leaf Class (Softmax),1,Muscoidea,0.2973,0.1757,0.2209
0,Train,Leaf Class (Softmax),2,ant,0.5888,0.4342,0.4999
0,Train,Leaf Class (Softmax),3,ant_beetle,0.3461,0.6496,0.4516
