true_class,Formicidae,Empidoidea,Oestroidea,Ephydroidea,Syrphidae,Lauxanioidea,Muscoidea,Asiloidea,Sepsidae,Tephritidae,Vespidae
Formicidae,4602,21,6,5,271,0,372,92,1,0,0
Empidoidea,0,14,0,11,5,0,72,85,0,103,0
Oestroidea,9,0,3825,2,39,6,774,201,1,3,66
Ephydroidea,0,0,4,277,2,0,430,0,0,0,0
Syrphidae,33,0,24,0,4528,39,344,94,0,67,334
Lauxanioidea,0,0,0,1,144,4103,361,0,0,8,3
Muscoidea,11,2,136,15,68,53,5450,84,1,6,4
Asiloidea,11,0,643,0,93,2,91,5047,0,1,29
Sepsidae,2,1,0,0,0,1,358,0,65,58,0
Tephritidae,0,0,0,0,7,47,375,0,0,584,0
Vespidae,3,0,13,0,92,0,6,39,0,0,735
