Level,Class,Train+Val no subclass,pixels,raw class,class+subclass,Train+Val samples,Weighted Avg. Pixels Class+Subclass,Weighted Avg. Pixels max 128*128 Class+Subclass,Total pixels max 128,Test F1,Test F1 new
L1,Insecta,7413,44815,332213595,3353267235,262985,12751,12751,3353267235,0.9953,0.994063246216969
L1,spider,2832,19450,55082400,55082400,2832,19450,16384,46399488,0.5014,0.230769230769231
L2,Coleoptera,0,0,0,213982024,45568,4696,4696,213982024,0.7226,0.707633450893658
L2,Diptera,519,6674,3463806,1851269875,136835,13529,13529,1851269875,0.8617,0.87150190428879
L2,Hymenoptera,0,0,0,251237273,31841,7890,7890,251237273,0.7195,0.726115824419034
L2,Lepidoptera,3082,7133,21983906,209975066,20197,10396,10396,209975066,0.5629,0.497486173956762
L2,Dermaptera,733,39648,29061984,29061984,733,39648,16384,12009472,0.3088,0.242744063324538
L2,Orthoptera,18000,24465,440370000,440370000,18000,24465,16384,294912000,0.8719,0.863914521612433
L2,Mecoptera,2398,10491,25157418,25157418,2398,10491,10491,25157418,0.6736,0.65880721220527
L3,Apocrita,0,0,0,225214313,28765,7829,7829,225214313,0.8075,0.798646543853053
L3,Brachycera,18000,10027,180486000,1524459064,123357,12358,12358,1524459064,0.8611,0.871741839023175
L3,Nematocera,9899,30489,301810611,326810811,12959,25219,16384,212320256,0.7313,0.730994152046784
L3,Anthicidae,3846,1216,4676736,4676736,3846,1216,1216,4676736,0.6559,0.62992125984252
L3,Coccinelloidea,18000,6883,123894000,123894000,18000,6883,6883,123894000,0.9056,0.898052691867125
L3,Chrysomeloidea,10645,6133,65285785,65285785,10645,6133,6133,65285785,0,0
L3,Heterocera,17115,10984,187991160,187991160,17115,10984,10984,187991160,0.5559,0.470588235294118
L3,Symphyta,3076,8460,26022960,26022960,3076,8460,8460,26022960,0.2521,0.265123966942149
L3,Curculionoidea,13077,1539,20125503,20125503,13077,1539,1539,20125503,0.2673,0.255614725630933
L4,Aculeata,0,0,0,173417993,21323,8133,8133,173417993,0.8338,0.821664871518695
L4,Asilomorpha,0,0,0,494173980,20418,24203,16384,334528512,0.8322,0.844853061894599
L4,Muscomorpha,3230,8407,27154610,1030285084,84939,12130,12130,1030285084,0.9169,0.896037461141935
L4,Bibionidae,3060,8170,25000200,25000200,3060,8170,8170,25000200,0.9009,0.885245901639344
L4,Parasitica,7442,6960,51796320,51796320,7442,6960,6960,51796320,0.5535,0.523715415019763
L5,Formicidae,18000,2750,49500000,49500000,18000,2750,2750,49500000,0.9189,0.862524599381501
L5,Empidoidea,2418,1110,2683980,2683980,2418,1110,1110,2683980,0.0671,0.066193853427896
L5,Oestroidea,15958,29527,471191866,471191866,15958,29527,16384,261455872,0.8044,0.782448603866217
L5,Ephydroidea,3861,3708,14316588,14316588,3861,3708,3708,14316588,0.5411,0.539435248296008
L5,Syrphidae,18000,9495,170910000,170910000,18000,9495,9495,170910000,0.8276,0.805049337718908
L5,Lauxanioidea,18000,8962,161316000,161316000,18000,8962,8962,161316000,0.903,0.833773623247308
L5,Muscoidea,18000,9098,163764000,163764000,18000,9098,9098,163764000,0.7604,0.744891683181849
L5,Asiloidea,18000,27305,491490000,491490000,18000,27305,16384,294912000,0.8603,0.867033155815152
L5,Sepsidae,6026,1010,6086260,6086260,6026,1010,1010,6086260,0.234,0.224913494809689
L5,Tephritidae,1864,8340,15545760,15545760,1864,8340,8340,15545760,0.6396,0.627619559376679
L5,Vespidae,3323,37291,123917993,123917993,3323,37291,16384,54444032,0.7039,0.671539515760621
